Institucion,Promedio,Minima,Maxima,Desviación,Moda,Tipo,Familia
Autofin,2.37,1.17,2.8,0.51,2.25,Credito,Comida rápida
Bajío,2.38,1.2,4.0,0.55,2.9,Credito,Comida rápida
Bzpay,2.4,1.8,3.35,0.49,2.1,Credito,Comida rápida
Velpay,2.44,1.9,3.1,0.27,2.3,Credito,Comida rápida
Azteca,2.49,1.5,2.5,0.12,2.5,Credito,Comida rápida
OEL,2.99,1.9,3.6,0.53,3.6,Credito,Comida rápida
Paypal,3.13,3.13,3.13,0.0,3.13,Credito,Comida rápida
Espiral,3.32,2.99,3.5,0.25,3.5,Credito,Comida rápida
PayU Digicuenta,3.41,2.0,3.5,0.3,3.5,Credito,Comida rápida
Pago Fácil,3.42,3.2,3.5,0.15,3.5,Credito,Comida rápida
Pocket,3.42,1.79,3.5,0.32,3.5,Credito,Comida rápida
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Comida rápida
Stripe,3.6,3.6,3.6,0.0,3.6,Credito,Comida rápida
Clip,3.6,2.0,3.6,0.0,3.6,Credito,Comida rápida
EMS,3.95,3.95,3.95,0.0,3.95,Credito,Comida rápida
Banregio,1.03,0.1,2.3,0.82,0.13,Credito,Educación básica
Banorte,1.09,0.0,1.79,0.45,0.75,Credito,Educación básica
Multiva,1.16,0.7,1.6,0.31,1.6,Credito,Educación básica
Afirme,1.3,0.0,1.7,0.48,1.7,Credito,Educación básica
BBVA Bancomer,1.46,0.0,1.88,0.29,1.2,Credito,Educación básica
Inbursa,1.55,0.07,1.8,0.45,1.8,Credito,Educación básica
Bajío,1.61,0.4,2.3,0.4,1.2,Credito,Educación básica
Mifel,1.85,0.0,2.8,0.63,2.5,Credito,Educación básica
EVO,1.85,1.8,2.53,0.11,1.8,Credito,Educación básica
Getnet,2.13,1.15,3.5,0.33,2.5,Credito,Educación básica
Bzpay,2.16,1.29,3.3,0.53,2.2,Credito,Educación básica
Fiserv,2.26,1.8,2.9,0.3,2.0,Credito,Educación básica
Banjército,2.35,1.9,2.5,0.3,2.5,Credito,Educación básica
Azteca,2.36,1.8,2.5,0.28,2.5,Credito,Educación básica
Bansí,2.5,2.5,2.5,0.0,2.5,Credito,Educación básica
Ebanx,2.71,2.6,2.83,0.13,2.6,Credito,Educación básica
EMS,2.8,2.8,2.8,0.0,2.8,Credito,Educación básica
Espiral,3.28,2.99,3.5,0.27,3.5,Credito,Educación básica
PayU Digicuenta,3.48,2.0,3.5,0.12,3.5,Credito,Educación básica
Pocket,3.48,1.79,3.5,0.13,3.5,Credito,Educación básica
Paypal,3.5,1.92,3.65,0.07,3.5,Credito,Educación básica
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Educación básica
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Educación básica
Stripe,3.6,2.55,3.6,0.02,3.6,Credito,Educación básica
Clip,3.6,3.6,3.6,0.0,3.6,Credito,Educación básica
Banregio,1.7,1.17,2.66,0.55,1.31,Credito,Entretenimiento
Intercam Banco,1.78,1.6,2.5,0.19,1.7,Credito,Entretenimiento
Adyen,1.8,1.8,1.8,0.0,1.8,Credito,Entretenimiento
BBVA Bancomer,1.9,1.2,2.07,0.23,2.07,Credito,Entretenimiento
Banorte,1.92,1.17,2.37,0.29,2.27,Credito,Entretenimiento
Afirme,1.96,1.19,3.9,0.4,2.4,Credito,Entretenimiento
Multiva,1.97,1.3,2.82,0.37,2.0,Credito,Entretenimiento
Ebanx,2.0,2.0,2.0,0.0,2.0,Credito,Entretenimiento
EVO,2.01,1.8,2.9,0.13,1.95,Credito,Entretenimiento
Autofin,2.05,1.55,2.3,0.43,2.3,Credito,Entretenimiento
Mifel,2.07,1.4,2.8,0.4,2.5,Credito,Entretenimiento
Getnet,2.15,1.18,3.5,0.34,2.3,Credito,Entretenimiento
Inbursa,2.16,1.42,2.35,0.26,2.35,Credito,Entretenimiento
Azteca,2.26,1.56,2.6,0.27,2.5,Credito,Entretenimiento
Fiserv,2.28,1.78,3.0,0.3,2.5,Credito,Entretenimiento
Velpay,2.3,2.3,2.3,0.0,2.3,Credito,Entretenimiento
Bzpay,2.37,1.82,3.35,0.47,2.3,Credito,Entretenimiento
Bajío,2.45,1.2,4.0,0.53,2.9,Credito,Entretenimiento
Bansí,2.5,2.5,2.5,0.0,2.5,Credito,Entretenimiento
Smart Payment,2.95,2.95,2.95,0.0,2.95,Credito,Entretenimiento
Mercado Pago,3.2,1.69,3.5,0.37,3.49,Credito,Entretenimiento
EMS,3.23,1.6,3.95,1.06,3.95,Credito,Entretenimiento
Espiral,3.26,2.99,3.5,0.26,3.5,Credito,Entretenimiento
Pago Fácil,3.39,3.0,3.5,0.22,3.5,Credito,Entretenimiento
