Institucion,Promedio,Minima,Maxima,Desviación,Moda,Tipo,Familia
Fiserv,1.5,1.2,2.35,0.24,1.5,Debito,Beneficencia
Getnet,1.54,1.15,3.5,0.56,1.18,Debito,Beneficencia
Bzpay,2.8,2.8,2.8,0.0,2.8,Debito,Beneficencia
Velpay,3.0,3.0,3.0,0.0,3.0,Debito,Beneficencia
Espiral,3.33,2.99,3.5,0.29,3.5,Debito,Beneficencia
PayU Digicuenta,3.46,2.2,3.5,0.19,3.5,Debito,Beneficencia
Paypal,3.47,2.07,3.65,0.09,3.5,Debito,Beneficencia
Pocket,3.48,1.69,3.5,0.17,3.5,Debito,Beneficencia
Stripe,3.6,2.75,3.6,0.03,3.6,Debito,Beneficencia
Clip,3.6,3.6,3.6,0.0,3.6,Debito,Beneficencia
Intercam Banco,1.2,1.2,1.2,0.0,1.2,Debito,Colegios y universidades
Inbursa,1.21,0.82,1.35,0.15,1.35,Debito,Colegios y universidades
Afirme,1.24,0.85,1.65,0.24,1.1,Debito,Colegios y universidades
BBVA Bancomer,1.28,0.75,1.35,0.13,1.35,Debito,Colegios y universidades
Banorte,1.31,0.75,1.95,0.28,1.6,Debito,Colegios y universidades
EVO,1.32,1.15,2.0,0.11,1.3,Debito,Colegios y universidades
Multiva,1.4,0.75,1.98,0.41,1.58,Debito,Colegios y universidades
Getnet,1.49,1.15,3.5,0.32,1.42,Debito,Colegios y universidades
Mifel,1.55,0.95,2.5,0.44,1.4,Debito,Colegios y universidades
Velpay,1.57,1.25,2.34,0.32,1.5,Debito,Colegios y universidades
Banregio,1.58,0.85,2.76,0.59,2.15,Debito,Colegios y universidades
Fiserv,1.73,1.2,2.9,0.34,1.75,Debito,Colegios y universidades
Autofin,1.8,1.8,1.8,0.0,1.8,Debito,Colegios y universidades
Bajío,1.92,0.75,4.0,0.67,2.5,Debito,Colegios y universidades
Bansí,2.0,1.5,2.5,0.71,2.5,Debito,Colegios y universidades
Azteca,2.23,1.07,2.5,0.38,2.4,Debito,Colegios y universidades
Pago Fácil,3.0,2.5,3.5,0.5,3.5,Debito,Colegios y universidades
Paypal,3.01,1.97,3.65,0.81,3.42,Debito,Colegios y universidades
Espiral,3.24,2.99,3.5,0.27,2.99,Debito,Colegios y universidades
OEL,3.4,3.4,3.4,0.0,3.4,Debito,Colegios y universidades
PayU Digicuenta,3.47,2.2,3.5,0.16,3.5,Debito,Colegios y universidades
Pocket,3.48,1.9,3.5,0.17,3.5,Debito,Colegios y universidades
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Debito,Colegios y universidades
Stripe,3.59,1.79,3.6,0.13,3.6,Debito,Colegios y universidades
Clip,3.6,3.0,3.6,0.0,3.6,Debito,Colegios y universidades
Afirme,1.24,0.9,1.65,0.18,1.3,Debito,Comida rápida
BBVA Bancomer,1.25,0.78,1.35,0.16,1.35,Debito,Comida rápida
Inbursa,1.42,1.02,1.45,0.08,1.45,Debito,Comida rápida
EVO,1.49,1.18,3.1,0.1,1.5,Debito,Comida rápida
Banregio,1.54,0.76,2.9,0.6,2.4,Debito,Comida rápida
Dlocal,1.58,1.3,1.95,0.33,1.5,Debito,Comida rápida
Autofin,1.61,0.75,2.1,0.52,1.4,Debito,Comida rápida
Banorte,1.63,0.75,2.45,0.36,1.99,Debito,Comida rápida
Multiva,1.68,0.96,2.41,0.4,1.32,Debito,Comida rápida
Mifel,1.73,0.95,2.5,0.48,2.5,Debito,Comida rápida
Getnet,1.73,1.15,3.5,0.39,1.65,Debito,Comida rápida
Smart Payment,1.77,1.45,2.4,0.27,1.6,Debito,Comida rápida
Intercam Banco,1.81,1.0,2.5,0.43,1.45,Debito,Comida rápida
Fiserv,1.94,1.15,2.69,0.43,1.55,Debito,Comida rápida
Velpay,2.0,1.3,3.1,0.56,1.3,Debito,Comida rápida
Adyen,2.0,1.7,2.3,0.3,1.7,Debito,Comida rápida
Bzpay,2.03,1.6,3.3,0.39,1.7,Debito,Comida rápida
Bajío,2.19,0.9,4.0,0.65,2.4,Debito,Comida rápida
Bansí,2.29,2.2,2.5,0.14,2.2,Debito,Comida rápida
Azteca,2.46,1.1,2.5,0.17,2.5,Debito,Comida rápida
OEL,2.95,1.5,3.6,0.61,3.6,Debito,Comida rápida
Paypal,3.13,3.13,3.13,0.0,3.13,Debito,Comida rápida
EMS,3.27,1.9,3.95,1.18,3.95,Debito,Comida rápida
Espiral,3.32,2.99,3.5,0.25,3.5,Debito,Comida rápida
Pocket,3.4,1.15,3.5,0.41,3.5,Debito,Comida rápida
Pago Fácil,3.42,3.2,3.5,0.15,3.5,Debito,Comida rápida
PayU Digicuenta,3.42,2.0,3.5,0.27,3.5,Debito,Comida rápida
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Debito,Comida rápida
Stripe,3.6,3.6,3.6,0.0,3.6,Debito,Comida rápida
Clip,3.6,2.0,3.6,0.0,3.6,Debito,Comida rápida
Banregio,0.72,0.1,1.7,0.55,0.39,Debito,Educación básica
Inbursa,1.18,0.85,1.35,0.16,1.35,Debito,Educación básica
EVO,1.33,1.15,2.5,0.09,1.3,Debito,Educación básica
Getnet,1.52,1.15,3.5,0.42,1.15,Debito,Educación básica
Mifel,1.68,0.0,2.5,0.64,2.5,Debito,Educación básica
Fiserv,1.83,1.18,2.9,0.36,1.7,Debito,Educación básica
Bzpay,1.98,1.19,2.9,0.56,2.2,Debito,Educación básica
Ebanx,2.2,2.1,2.29,0.1,2.1,Debito,Educación básica
Azteca,2.32,1.8,2.5,0.26,2.5,Debito,Educación básica
Bansí,2.5,2.5,2.5,0.0,2.5,Debito,Educación básica
EMS,2.8,2.8,2.8,0.0,2.8,Debito,Educación básica
Espiral,3.28,2.99,3.5,0.27,3.5,Debito,Educación básica
PayU Digicuenta,3.48,2.7,3.5,0.09,3.5,Debito,Educación básica
Pocket,3.48,1.2,3.5,0.18,3.5,Debito,Educación básica
Paypal,3.5,1.92,3.65,0.07,3.5,Debito,Educación básica
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Debito,Educación básica
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Debito,Educación básica
Stripe,3.6,2.55,3.6,0.02,3.6,Debito,Educación básica
Clip,3.6,3.6,3.6,0.0,3.6,Debito,Educación básica
Intercam Banco,1.37,1.19,2.0,0.29,1.2,Debito,Entretenimiento
EVO,1.45,1.15,2.15,0.15,1.45,Debito,Entretenimiento
Autofin,1.53,1.38,1.6,0.13,1.6,Debito,Entretenimiento
Getnet,1.55,1.15,3.5,0.34,1.54,Debito,Entretenimiento
BBVA Bancomer,1.58,1.1,1.7,0.17,1.7,Debito,Entretenimiento
Afirme,1.58,1.1,3.15,0.35,1.8,Debito,Entretenimiento
Banregio,1.59,1.1,2.66,0.57,1.19,Debito,Entretenimiento
Inbursa,1.66,1.2,1.7,0.08,1.7,Debito,Entretenimiento
Banorte,1.69,1.1,2.3,0.28,2.0,Debito,Entretenimiento
Multiva,1.71,1.27,2.12,0.25,2.0,Debito,Entretenimiento
Fiserv,1.72,1.19,3.0,0.31,1.6,Debito,Entretenimiento
Adyen,1.83,1.55,2.1,0.39,2.1,Debito,Entretenimiento
Mifel,1.87,1.2,2.5,0.43,2.5,Debito,Entretenimiento
Ebanx,2.0,2.0,2.0,0.0,2.0,Debito,Entretenimiento
Azteca,2.06,1.38,2.5,0.41,1.6,Debito,Entretenimiento
Bzpay,2.08,1.68,2.8,0.37,2.0,Debito,Entretenimiento
Velpay,2.3,2.3,2.3,0.0,2.3,Debito,Entretenimiento
Bajío,2.32,1.14,4.0,0.59,2.7,Debito,Entretenimiento
Bansí,2.5,2.5,2.5,0.0,2.5,Debito,Entretenimiento
Mercado Pago,2.9,1.2,3.5,0.77,3.49,Debito,Entretenimiento
Smart Payment,2.95,2.95,2.95,0.0,2.95,Debito,Entretenimiento
EMS,3.23,1.6,3.95,1.06,3.95,Debito,Entretenimiento
Espiral,3.26,2.99,3.5,0.26,3.5,Debito,Entretenimiento
Pago Fácil,3.39,3.0,3.5,0.22,3.5,Debito,Entretenimiento
Pocket,3.45,1.15,3.5,0.26,3.5,Debito,Entretenimiento
PayU Digicuenta,3.46,1.8,3.5,0.16,3.5,Debito,Entretenimiento
Paypal,3.49,1.6,3.65,0.08,3.5,Debito,Entretenimiento
Cyborgbeat,3.5,3.5,3.5,0.0,3.5,Debito,Entretenimiento
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Debito,Entretenimiento
Stripe,3.58,1.2,3.6,0.16,3.6,Debito,Entretenimiento
Clip,3.6,2.8,3.6,0.01,3.6,Debito,Entretenimiento
EVO,1.4,1.2,1.9,0.2,1.25,Debito,Estacionamientos
Multiva,1.46,1.2,1.95,0.25,1.35,Debito,Estacionamientos
BBVA Bancomer,1.55,1.12,1.6,0.13,1.6,Debito,Estacionamientos
Banregio,1.65,1.25,2.4,0.48,1.25,Debito,Estacionamientos
Inbursa,1.69,1.5,1.75,0.09,1.75,Debito,Estacionamientos
Getnet,1.77,1.44,3.5,0.45,1.55,Debito,Estacionamientos
Banorte,1.78,1.3,2.7,0.29,1.95,Debito,Estacionamientos
Afirme,1.85,1.8,1.9,0.07,1.8,Debito,Estacionamientos
Mifel,2.17,1.5,2.5,0.58,2.5,Debito,Estacionamientos
Fiserv,2.18,1.41,2.86,0.53,2.3,Debito,Estacionamientos
EMS,2.23,2.23,2.23,0.0,2.23,Debito,Estacionamientos
Bajío,2.39,1.35,3.4,0.47,2.4,Debito,Estacionamientos
Azteca,2.47,2.4,2.5,0.05,2.5,Debito,Estacionamientos
PayU Digicuenta,2.68,2.2,3.0,0.43,3.0,Debito,Estacionamientos
OEL,3.3,3.0,3.5,0.27,3.5,Debito,Estacionamientos
Pocket,3.5,3.5,3.5,0.0,3.5,Debito,Estacionamientos
Stripe,3.6,3.6,3.6,0.0,3.6,Debito,Estacionamientos
Clip,3.6,3.6,3.6,0.0,3.6,Debito,Estacionamientos
BBVA Bancomer,1.39,1.0,1.6,0.19,1.6,Debito,Farmacias
Getnet,1.54,1.15,3.5,0.39,1.49,Debito,Farmacias
Banorte,1.56,1.0,2.2,0.27,1.4,Debito,Farmacias
Multiva,1.58,1.2,2.02,0.28,1.35,Debito,Farmacias
EVO,1.58,1.15,2.71,0.14,1.6,Debito,Farmacias
Inbursa,1.59,1.0,1.75,0.19,1.75,Debito,Farmacias
Velpay,1.59,1.3,3.0,0.69,1.3,Debito,Farmacias
Afirme,1.65,1.15,3.15,0.28,1.8,Debito,Farmacias
Banregio,1.66,1.0,2.62,0.45,2.2,Debito,Farmacias
Mifel,1.68,1.1,2.5,0.49,2.5,Debito,Farmacias
Autofin,1.85,1.5,2.3,0.36,1.6,Debito,Farmacias
Bzpay,1.86,1.4,2.3,0.18,1.8,Debito,Farmacias
Adyen,2.0,2.0,2.0,0.0,2.0,Debito,Farmacias
Fiserv,2.02,1.15,2.75,0.33,2.06,Debito,Farmacias
Intercam Banco,2.08,1.19,2.3,0.34,2.3,Debito,Farmacias
Bajío,2.27,1.03,4.0,0.63,2.7,Debito,Farmacias
Azteca,2.39,1.2,2.5,0.31,2.5,Debito,Farmacias
Pago Fácil,2.9,2.9,2.9,0.0,2.9,Debito,Farmacias
EMS,3.13,2.0,3.95,0.58,3.95,Debito,Farmacias
Pocket,3.26,1.15,3.5,0.64,3.5,Debito,Farmacias
Paypal,3.31,2.84,3.65,0.31,3.42,Debito,Farmacias
Espiral,3.32,2.99,3.5,0.25,3.5,Debito,Farmacias
PayU Digicuenta,3.37,1.99,3.5,0.28,3.5,Debito,Farmacias
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Debito,Farmacias
Stripe,3.6,3.6,3.6,0.0,3.6,Debito,Farmacias
Clip,3.6,3.2,3.6,0.0,3.6,Debito,Farmacias
Afirme,0.7,0.5,0.8,0.07,0.69,Debito,Gasolineras
Banorte,0.76,0.45,0.85,0.11,0.8,Debito,Gasolineras
BBVA Bancomer,0.77,0.45,0.8,0.06,0.8,Debito,Gasolineras
Autofin,0.8,0.8,0.8,0.0,0.8,Debito,Gasolineras
Inbursa,0.83,0.45,1.0,0.06,0.85,Debito,Gasolineras
Intercam Banco,0.9,0.8,1.1,0.17,0.8,Debito,Gasolineras
Mifel,0.91,0.45,2.5,0.36,0.8,Debito,Gasolineras
Banregio,1.02,0.45,2.3,0.51,0.65,Debito,Gasolineras
Bajío,1.03,0.5,3.8,0.51,0.55,Debito,Gasolineras
Multiva,1.11,0.5,2.75,0.46,0.8,Debito,Gasolineras
EVO,1.27,1.16,1.55,0.18,1.16,Debito,Gasolineras
Fiserv,1.4,1.15,3.0,0.38,1.15,Debito,Gasolineras
Getnet,1.56,1.15,3.5,0.37,1.15,Debito,Gasolineras
Smart Payment,1.7,1.7,1.7,0.0,1.7,Debito,Gasolineras
Azteca,1.87,0.9,2.5,0.57,2.5,Debito,Gasolineras
Bzpay,1.96,1.7,2.15,0.17,2.0,Debito,Gasolineras
EMS,2.36,1.2,3.95,0.88,1.85,Debito,Gasolineras
Pocket,3.29,1.4,3.5,0.64,3.5,Debito,Gasolineras
PayU Digicuenta,3.5,3.5,3.5,0.0,3.5,Debito,Gasolineras
Clip,3.6,3.6,3.6,0.0,3.6,Debito,Gasolineras
Multiva,0.97,0.9,1.0,0.06,1.0,Debito,Gobierno
Inbursa,1.13,1.0,1.26,0.18,1.0,Debito,Gobierno
Banorte,1.15,0.75,1.95,0.26,1.01,Debito,Gobierno
Afirme,1.18,0.85,1.65,0.23,1.05,Debito,Gobierno
Bajío,1.21,0.75,2.1,0.34,0.9,Debito,Gobierno
BBVA Bancomer,1.22,0.75,1.35,0.17,1.35,Debito,Gobierno
EVO,1.3,1.15,1.9,0.07,1.3,Debito,Gobierno
Mifel,1.34,1.06,2.5,0.42,1.2,Debito,Gobierno
Getnet,1.34,1.15,3.5,0.22,1.21,Debito,Gobierno
Banregio,1.41,0.75,2.71,0.47,1.45,Debito,Gobierno
Fiserv,1.54,1.15,2.2,0.29,1.55,Debito,Gobierno
Azteca,1.65,1.11,2.0,0.24,1.5,Debito,Gobierno
Paypal,2.02,1.97,2.2,0.1,1.97,Debito,Gobierno
Xaldo,2.55,2.35,2.7,0.18,2.7,Debito,Gobierno
Velpay,3.0,3.0,3.0,0.0,3.0,Debito,Gobierno
Espiral,3.26,2.99,3.5,0.26,3.5,Debito,Gobierno
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Debito,Gobierno
PayU Digicuenta,3.5,2.87,3.5,0.05,3.5,Debito,Gobierno
Pocket,3.5,3.5,3.5,0.0,3.5,Debito,Gobierno
Stripe,3.6,3.6,3.6,0.0,3.6,Debito,Gobierno
EVO,1.4,1.15,2.3,0.2,1.28,Debito,Hospitales
Autofin,1.6,1.6,1.6,0.0,1.6,Debito,Hospitales
Multiva,1.6,1.15,2.17,0.31,1.35,Debito,Hospitales
Azteca,1.61,1.3,2.5,0.44,1.3,Debito,Hospitales
BBVA Bancomer,1.65,1.15,1.75,0.16,1.75,Debito,Hospitales
Bzpay,1.65,1.65,1.65,0.0,1.65,Debito,Hospitales
Afirme,1.66,1.2,2.85,0.34,1.4,Debito,Hospitales
Banorte,1.67,1.15,2.25,0.3,2.0,Debito,Hospitales
Bansí,1.73,1.25,2.5,0.6,1.25,Debito,Hospitales
Intercam Banco,1.74,1.37,2.2,0.34,1.7,Debito,Hospitales
Getnet,1.74,1.15,3.5,0.34,1.6,Debito,Hospitales
Inbursa,1.79,1.25,1.9,0.17,1.9,Debito,Hospitales
Mifel,1.84,1.2,2.5,0.42,2.5,Debito,Hospitales
Banregio,1.84,1.15,2.83,0.46,2.35,Debito,Hospitales
Fiserv,1.98,1.22,3.0,0.37,2.11,Debito,Hospitales
Banjército,2.0,2.0,2.0,0.0,2.0,Debito,Hospitales
Bajío,2.15,1.2,4.0,0.6,2.4,Debito,Hospitales
Pocket,3.43,1.29,3.5,0.34,3.5,Debito,Hospitales
PayU Digicuenta,3.47,2.87,3.5,0.12,3.5,Debito,Hospitales
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Debito,Hospitales
Stripe,3.6,3.6,3.6,0.0,3.6,Debito,Hospitales
Clip,3.6,3.6,3.6,0.0,3.6,Debito,Hospitales
EMS,3.95,3.95,3.95,0.0,3.95,Debito,Hospitales
EVO,1.33,1.15,2.17,0.16,1.2,Debito,Hoteles
BBVA Bancomer,1.59,1.1,1.7,0.18,1.7,Debito,Hoteles
Banorte,1.6,1.1,2.3,0.3,2.0,Debito,Hoteles
Inbursa,1.66,1.15,1.7,0.08,1.7,Debito,Hoteles
Afirme,1.68,1.1,3.15,0.33,1.5,Debito,Hoteles
Multiva,1.7,1.1,2.12,0.26,1.5,Debito,Hoteles
Getnet,1.71,1.15,3.5,0.36,1.53,Debito,Hoteles
Mifel,1.87,1.1,2.5,0.46,2.5,Debito,Hoteles
Fiserv,1.89,1.25,3.0,0.35,2.05,Debito,Hoteles
Banregio,1.91,1.1,3.15,0.61,2.5,Debito,Hoteles
Intercam Banco,1.97,1.1,2.5,0.42,2.5,Debito,Hoteles
Banjército,2.11,1.75,2.81,0.45,1.8,Debito,Hoteles
Bzpay,2.16,1.19,2.8,0.6,2.8,Debito,Hoteles
Bajío,2.17,1.1,4.0,0.53,2.4,Debito,Hoteles
Autofin,2.3,2.0,2.6,0.42,2.6,Debito,Hoteles
Smart Payment,2.32,1.28,2.65,0.58,2.65,Debito,Hoteles
Azteca,2.35,1.63,2.5,0.24,2.5,Debito,Hoteles
EMS,2.37,2.05,3.0,0.55,2.05,Debito,Hoteles
Bansí,2.5,2.5,2.5,0.0,2.5,Debito,Hoteles
Mercado Pago,2.77,1.25,3.5,0.82,1.69,Debito,Hoteles
Espiral,3.26,2.99,3.5,0.26,3.5,Debito,Hoteles
PayU Digicuenta,3.35,2.39,3.5,0.37,3.5,Debito,Hoteles
Paypal,3.4,2.4,3.65,0.3,3.5,Debito,Hoteles
Pocket,3.44,1.24,3.5,0.29,3.5,Debito,Hoteles
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Debito,Hoteles
Stripe,3.58,1.78,3.6,0.17,3.6,Debito,Hoteles
Clip,3.6,2.8,3.6,0.01,3.6,Debito,Hoteles
Banregio,1.02,0.0,2.15,0.62,0.45,Debito,Misceláneas
Bansí,1.31,1.15,2.5,0.22,1.27,Debito,Misceláneas
Mifel,1.36,0.0,2.5,0.73,2.5,Debito,Misceláneas
Azteca,1.43,0.0,2.5,0.64,1.03,Debito,Misceláneas
EVO,1.47,1.15,2.59,0.16,1.4,Debito,Misceláneas
Getnet,1.75,1.15,3.5,0.5,1.3,Debito,Misceláneas
Bzpay,2.03,1.15,2.85,0.55,1.9,Debito,Misceláneas
Velpay,2.1,1.3,2.9,1.13,2.9,Debito,Misceláneas
Fiserv,2.2,1.15,3.0,0.47,2.6,Debito,Misceláneas
Inbursa,2.23,0.0,2.4,0.29,2.4,Debito,Misceláneas
Adyen,2.33,2.33,2.33,0.0,2.33,Debito,Misceláneas
Smart Payment,2.6,2.6,2.6,0.0,2.6,Debito,Misceláneas
Cyborgbeat,2.9,2.9,2.9,0.0,2.9,Debito,Misceláneas
EMS,2.97,1.6,3.95,0.73,3.95,Debito,Misceláneas
OEL,3.31,2.5,3.7,0.48,2.5,Debito,Misceláneas
Espiral,3.37,2.99,3.5,0.22,3.5,Debito,Misceláneas
Pocket,3.47,1.15,3.5,0.25,3.5,Debito,Misceláneas
PayU Digicuenta,3.48,2.9,3.5,0.11,3.5,Debito,Misceláneas
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Debito,Misceláneas
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Debito,Misceláneas
Stripe,3.6,3.6,3.6,0.0,3.6,Debito,Misceláneas
Clip,3.6,3.0,3.6,0.0,3.6,Debito,Misceláneas
Paypal,3.65,3.65,3.65,0.0,3.65,Debito,Misceláneas
Banregio,0.85,0.02,1.7,0.56,1.7,Debito,Médicos y dentistas
EVO,1.43,1.15,2.59,0.22,1.4,Debito,Médicos y dentistas
Mifel,1.73,0.0,2.5,0.64,1.95,Debito,Médicos y dentistas
Fiserv,1.73,1.15,3.0,0.36,1.55,Debito,Médicos y dentistas
Inbursa,1.79,0.0,1.9,0.18,1.9,Debito,Médicos y dentistas
Getnet,1.89,1.15,3.5,0.61,1.5,Debito,Médicos y dentistas
Bzpay,2.07,1.35,3.0,0.49,1.8,Debito,Médicos y dentistas
Velpay,2.15,1.15,2.9,0.53,1.8,Debito,Médicos y dentistas
Bansí,2.39,1.15,2.5,0.38,2.5,Debito,Médicos y dentistas
Azteca,2.4,0.0,2.5,0.35,2.5,Debito,Médicos y dentistas
Mercado Pago,2.77,1.25,3.5,0.82,1.69,Debito,Médicos y dentistas
Cyborgbeat,2.9,2.9,2.9,0.0,2.9,Debito,Médicos y dentistas
Espiral,3.25,2.99,3.5,0.26,3.5,Debito,Médicos y dentistas
EMS,3.35,1.99,3.95,0.76,3.95,Debito,Médicos y dentistas
PayU Digicuenta,3.46,2.4,3.5,0.16,3.5,Debito,Médicos y dentistas
Pocket,3.48,1.25,3.5,0.17,3.5,Debito,Médicos y dentistas
Paypal,3.5,2.9,3.5,0.01,3.5,Debito,Médicos y dentistas
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Debito,Médicos y dentistas
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Debito,Médicos y dentistas
Stripe,3.6,2.4,3.6,0.07,3.6,Debito,Médicos y dentistas
Clip,3.6,2.7,3.6,0.0,3.6,Debito,Médicos y dentistas
EVO,1.63,1.15,3.46,0.18,1.6,Debito,Otros
BBVA Bancomer,1.66,1.15,1.75,0.16,1.75,Debito,Otros
Getnet,1.76,1.15,3.5,0.42,1.58,Debito,Otros
Afirme,1.8,1.15,3.15,0.26,1.8,Debito,Otros
Banorte,1.86,1.15,2.65,0.36,2.0,Debito,Otros
Autofin,1.91,1.15,2.9,0.49,1.7,Debito,Otros
Inbursa,1.94,1.15,2.14,0.23,2.14,Debito,Otros
Banregio,2.0,1.15,2.99,0.55,2.55,Debito,Otros
Multiva,2.0,1.15,2.9,0.46,1.9,Debito,Otros
Intercam Banco,2.03,1.19,2.5,0.33,2.0,Debito,Otros
Mifel,2.04,1.15,2.5,0.41,2.5,Debito,Otros
Fiserv,2.04,1.2,3.0,0.5,1.2,Debito,Otros
Banjército,2.09,1.65,4.0,0.5,1.8,Debito,Otros
Adyen,2.2,1.85,2.52,0.22,2.25,Debito,Otros
Bzpay,2.31,1.5,2.95,0.38,2.7,Debito,Otros
Ebanx,2.37,1.72,2.88,0.35,2.1,Debito,Otros
Azteca,2.39,1.18,2.79,0.12,2.4,Debito,Otros
Dlocal,2.42,2.0,2.9,0.45,2.0,Debito,Otros
Velpay,2.45,1.49,3.4,0.57,2.5,Debito,Otros
Bajío,2.46,1.15,4.0,0.54,2.9,Debito,Otros
Cyborgbeat,2.83,1.9,3.6,0.39,2.5,Debito,Otros
Mercado Pago,2.84,1.2,3.69,0.79,3.49,Debito,Otros
Pago Fácil,2.85,2.4,3.5,0.52,2.4,Debito,Otros
EMS,2.99,1.55,3.95,0.63,3.95,Debito,Otros
OEL,3.11,2.99,3.5,0.21,3.0,Debito,Otros
Espiral,3.22,2.99,3.5,0.25,2.99,Debito,Otros
PayU Digicuenta,3.47,1.87,3.5,0.14,3.5,Debito,Otros
Pocket,3.47,1.19,3.5,0.2,3.5,Debito,Otros
Paypal,3.5,1.2,3.65,0.02,3.5,Debito,Otros
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Debito,Otros
Stripe,3.58,1.6,3.6,0.15,3.6,Debito,Otros
Clip,3.6,2.0,3.6,0.0,3.6,Debito,Otros
Inbursa,1.25,1.25,1.75,0.04,1.25,Debito,Peaje
BBVA Bancomer,1.3,1.2,1.6,0.1,1.25,Debito,Peaje
Afirme,1.51,1.5,1.7,0.03,1.5,Debito,Peaje
EVO,1.52,1.5,1.55,0.02,1.5,Debito,Peaje
Getnet,1.71,1.2,2.35,0.31,1.98,Debito,Peaje
Banorte,1.72,1.4,2.62,0.39,1.4,Debito,Peaje
Fiserv,1.85,1.85,1.85,0.0,1.85,Debito,Peaje
Banregio,2.19,1.62,2.3,0.28,2.3,Debito,Peaje
Bzpay,2.8,2.8,2.8,0.0,2.8,Debito,Peaje
PayU Digicuenta,3.5,3.5,3.5,0.0,3.5,Debito,Peaje
Pocket,3.5,3.5,3.5,0.0,3.5,Debito,Peaje
Banregio,0.72,0.0,1.7,0.53,1.7,Debito,Refacciones y ferreterías
Mifel,1.13,0.0,2.5,0.69,1.1,Debito,Refacciones y ferreterías
Velpay,1.46,1.43,1.5,0.04,1.43,Debito,Refacciones y ferreterías
Bzpay,1.47,1.15,2.29,0.38,1.19,Debito,Refacciones y ferreterías
EVO,1.49,1.15,2.65,0.17,1.4,Debito,Refacciones y ferreterías
Getnet,1.74,1.15,3.5,0.51,1.5,Debito,Refacciones y ferreterías
Inbursa,1.81,0.0,1.9,0.18,1.9,Debito,Refacciones y ferreterías
Fiserv,1.93,1.15,3.0,0.44,2.1,Debito,Refacciones y ferreterías
Azteca,2.42,0.0,2.5,0.36,2.5,Debito,Refacciones y ferreterías
Adyen,2.45,2.3,2.54,0.13,2.5,Debito,Refacciones y ferreterías
Bansí,2.5,2.5,2.5,0.0,2.5,Debito,Refacciones y ferreterías
EMS,2.58,1.2,3.95,0.95,2.45,Debito,Refacciones y ferreterías
Mercado Pago,2.77,1.25,3.5,0.83,1.69,Debito,Refacciones y ferreterías
Cyborgbeat,2.9,2.9,2.9,0.0,2.9,Debito,Refacciones y ferreterías
Espiral,3.27,2.99,3.5,0.26,3.5,Debito,Refacciones y ferreterías
Paypal,3.37,3.0,3.65,0.3,3.65,Debito,Refacciones y ferreterías
Pocket,3.4,1.18,3.5,0.38,3.5,Debito,Refacciones y ferreterías
PayU Digicuenta,3.45,2.7,3.5,0.16,3.5,Debito,Refacciones y ferreterías
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Debito,Refacciones y ferreterías
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Debito,Refacciones y ferreterías
Stripe,3.6,3.6,3.6,0.0,3.6,Debito,Refacciones y ferreterías
Clip,3.6,2.4,3.6,0.03,3.6,Debito,Refacciones y ferreterías
Multiva,1.43,1.25,1.69,0.17,1.25,Debito,Renta de autos
EVO,1.43,1.16,2.0,0.18,1.35,Debito,Renta de autos
Getnet,1.61,1.15,3.5,0.22,1.63,Debito,Renta de autos
BBVA Bancomer,1.62,1.1,1.7,0.12,1.7,Debito,Renta de autos
Inbursa,1.63,1.24,1.7,0.1,1.7,Debito,Renta de autos
Banorte,1.67,1.15,2.3,0.27,1.95,Debito,Renta de autos
Bansí,1.71,1.71,1.71,0.0,1.71,Debito,Renta de autos
Bzpay,1.85,1.85,1.85,0.0,1.85,Debito,Renta de autos
Mifel,1.93,1.2,2.5,0.38,1.72,Debito,Renta de autos
Afirme,1.93,1.5,2.8,0.36,1.7,Debito,Renta de autos
Banregio,1.96,1.1,3.0,0.53,2.5,Debito,Renta de autos
Fiserv,2.09,1.3,3.0,0.33,2.26,Debito,Renta de autos
Autofin,2.1,2.1,2.1,0.0,2.1,Debito,Renta de autos
Intercam Banco,2.19,1.7,2.5,0.29,2.5,Debito,Renta de autos
Bajío,2.22,1.2,3.4,0.52,2.4,Debito,Renta de autos
Azteca,2.45,2.4,2.5,0.05,2.4,Debito,Renta de autos
Cyborgbeat,2.8,2.8,2.8,0.0,2.8,Debito,Renta de autos
EMS,3.0,3.0,3.0,0.0,3.0,Debito,Renta de autos
Espiral,3.31,2.99,3.5,0.26,3.5,Debito,Renta de autos
PayU Digicuenta,3.5,3.5,3.5,0.0,3.5,Debito,Renta de autos
