Familia,Tipo,Institucion,Promedio,Minima,Maxima,Desviación,Moda
Aseguradoras,Credito,Clip,3.6,3.6,3.6,0.0,3.6
Aseguradoras,Debito,Multiva,1.45,1.43,1.59,0.06,1.43
Aseguradoras,Debito,EVO,1.54,1.15,2.18,0.31,2.05
Aseguradoras,Debito,Mifel,1.56,1.5,2.5,0.22,1.5
Aseguradoras,Debito,BBVA Bancomer,1.57,1.15,1.75,0.18,1.75
Aseguradoras,Debito,Afirme,1.62,1.45,2.3,0.19,1.45
Aseguradoras,Debito,Getnet,1.63,1.2,3.5,0.23,1.74
Aseguradoras,Debito,Banorte,1.66,1.2,2.25,0.23,1.57
Aseguradoras,Debito,Banregio,1.77,1.15,2.55,0.51,2.4
Aseguradoras,Debito,Fiserv,1.84,1.6,3.0,0.34,1.6
Aseguradoras,Debito,Inbursa,1.9,1.43,1.9,0.04,1.9
Aseguradoras,Debito,Autofin,1.9,1.8,2.0,0.1,1.8
Aseguradoras,Debito,Bajío,2.07,1.5,3.5,0.51,1.6
Aseguradoras,Debito,Azteca,2.48,2.4,2.5,0.04,2.5
Aseguradoras,Debito,Mercado Pago,2.74,1.69,3.5,0.83,1.69
Aseguradoras,Debito,Dlocal,3.2,3.2,3.2,0.0,3.2
Aseguradoras,Debito,Espiral,3.24,2.99,3.5,0.36,2.99
Aseguradoras,Debito,Paypal,3.26,2.78,3.65,0.34,3.02
Aseguradoras,Debito,PayU Digicuenta,3.47,3.0,3.5,0.11,3.5
Aseguradoras,Debito,Pocket,3.49,2.7,3.5,0.07,3.5
Aseguradoras,Debito,Pago Fácil,3.5,3.5,3.5,0.0,3.5
Aseguradoras,Debito,Stripe,3.59,2.6,3.6,0.1,3.6
Aseguradoras,Debito,Clip,3.6,3.6,3.6,0.0,3.6
Beneficencia,Credito,BBVA Bancomer,0.0,0.0,0.0,0.0,0.0
Beneficencia,Credito,Autofin,0.0,0.0,0.0,0.0,0.0
Beneficencia,Credito,Multiva,0.0,0.0,0.0,0.0,0.0
Beneficencia,Credito,Banregio,0.16,0.0,0.8,0.21,0.0
Beneficencia,Credito,Azteca,0.6,0.0,1.8,0.9,0.0
Beneficencia,Credito,Banorte,0.76,0.0,2.5,0.57,1.0
Beneficencia,Credito,Inbursa,0.86,0.1,2.04,0.72,0.36
Beneficencia,Credito,Afirme,0.92,0.0,2.3,1.01,0.0
Beneficencia,Credito,Mifel,1.0,0.0,2.8,0.92,1.85
Beneficencia,Credito,Bajío,1.23,0.01,2.0,0.72,2.0
Beneficencia,Credito,EVO,1.84,1.8,2.56,0.17,1.8
Beneficencia,Credito,Getnet,2.16,1.84,3.5,0.39,1.95
Beneficencia,Credito,Fiserv,2.31,1.8,2.65,0.29,2.25
Beneficencia,Credito,Bzpay,2.8,2.8,2.8,0.0,2.8
Beneficencia,Credito,Velpay,3.0,3.0,3.0,0.0,3.0
Beneficencia,Credito,Espiral,3.33,2.99,3.5,0.29,3.5
Beneficencia,Credito,Paypal,3.47,2.07,3.65,0.09,3.5
Beneficencia,Credito,PayU Digicuenta,3.47,2.2,3.5,0.18,3.5
Beneficencia,Credito,Pocket,3.48,2.2,3.5,0.14,3.5
Beneficencia,Credito,Stripe,3.6,2.75,3.6,0.03,3.6
Beneficencia,Credito,Clip,3.6,3.6,3.6,0.0,3.6
Beneficencia,Debito,BBVA Bancomer,0.0,0.0,0.0,0.0,0.0
Beneficencia,Debito,Autofin,0.0,0.0,0.0,0.0,0.0
